Tattag,Tatzeit,Tatort,Stadt,Tatort2,Tbnr1,Geldbusse,lng,lat
28.10.2015,1647,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,50,6.65101,51.44822
12.10.2015,1612,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141238,35,6.65101,51.44822
07.12.2015,1440,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141238,35,6.65101,51.44822
12.10.2015,1629,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,30,6.65101,51.44822
07.12.2015,1403,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,30,6.65101,51.44822
07.12.2015,1243,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,30,6.65101,51.44822
12.10.2015,1700,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
12.10.2015,1632,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
12.10.2015,1702,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
12.10.2015,1716,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
12.10.2015,1745,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
28.10.2015,1604,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
28.10.2015,1636,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
07.12.2015,1243,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
07.12.2015,1316,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
07.12.2015,1409,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
07.12.2015,1439,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
07.12.2015,1310,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141237,25,6.65101,51.44822
15.12.2015,1638,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
15.12.2015,1643,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141237,25,6.65101,51.44822
07.12.2015,1529,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,22,6.65101,51.44822
28.10.2015,1653,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,20,6.65101,51.44822
15.12.2015,1601,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,20,6.65101,51.44822
12.10.2015,1700,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
12.10.2015,1704,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
12.10.2015,1708,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
12.10.2015,1613,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1617,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1620,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1634,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1643,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1656,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1705,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1707,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1718,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1722,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1724,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1725,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
12.10.2015,1617,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
12.10.2015,1642,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
28.10.2015,1644,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
28.10.2015,1645,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1542,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1236,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1257,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1259,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1306,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1331,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1407,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1437,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1501,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1551,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1552,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1541,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1505,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
07.12.2015,1332,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
07.12.2015,1526,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
07.12.2015,1252,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
07.12.2015,1408,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
07.12.2015,1421,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
07.12.2015,1524,Am Geldermannshof 39,Moers,Fahrtrichtung Essenberger Str.,141236,15,6.65101,51.44822
15.12.2015,1639,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
15.12.2015,1616,Am Geldermannshof 39,Moers,Fahrtrichtung Homberger Str.,141236,15,6.65101,51.44822
01.10.2015,1754,Am Geldermannshof 97,Moers,Fahrtrichtung Essenberger Str.,141712,80,6.65110,51.44620
09.12.2015,904,Am Geldermannshof 97,Moers,Fahrtrichtung Asberger Str.,141712,80,6.65110,51.44620
27.10.2015,1900,Am Geldermannshof 97,Moers,Fahrtrichtung Essenberger Str.,141238,45,6.65110,51.44620
19.10.2015,1816,Am Geldermannshof 97,Moers,Fahrtrichtung Asberger Str.,141238,35,6.65110,51.44620
19.10.2015,1649,Am Geldermannshof 97,Moers,Fahrtrichtung Asberger Str.,141238,35,6.65110,51.44620
19.10.2015,1853,Am Geldermannshof 97,Moers,Fahrtrichtung Essenberger Str.,141238,35,6.65110,51.44620
27.10.2015,1705,Am Geldermannshof 97,Moers,Fahrtrichtung Asberger Str.,141238,35,6.65110,51.44620
27.10.2015,1731,Am Geldermannshof 97,Moers,Fahrtrichtung Asberger Str.,141238,35,6.65110,51.44620
27.10.2015,1819,Am Geldermannshof 97,Moers,Fahrtrichtung Essenberger Str.,141238,35,6.65110,51.44620
01.10.2015,1836,Am Geldermannshof 97,Moers,Fahrtrichtung Essenberger Str.,141237,25,6.65110,51.44620
01.10.2015,1708,Am Geldermannshof 97,Moers,Fahrtrichtung Asberger Str.,141237,25,6.65110,51.44620
01.10.2015,1721,Am Geldermannshof 97,Moers,Fahrtrichtung Asberger Str.,141237,25,6.65110,51.44620
